Acc_x,Acc_y,Acc_z,y
0.10529000000000002,-0.016329999999999976,9.66788,still
-0.312,-1.3717000000000001,9.63075,still
-0.2502999999999999,-1.5973,9.636200000000002,still
-0.3403999999999999,-1.6176000000000001,9.60287,still
-0.3519999999999999,-1.6149999999999998,9.5993,still
-0.3519999999999999,-1.6149999999999998,9.5993,still
-0.3519999999999999,-1.6149999999999998,9.5993,still
-0.3519999999999999,-1.6149999999999998,9.5993,still
-0.3519999999999999,-1.6149999999999998,9.5993,still
-0.3519999999999999,-1.6149999999999998,9.5993,still
-0.3519999999999999,-1.6149999999999998,9.5993,still
-0.3519999999999999,-1.6149999999999998,9.5993,still
-0.3519999999999999,-1.6149999999999998,9.5993,still
-0.28629999999999994,-1.6663000000000001,9.50507,still
-0.27899999999999997,-1.6720000000000002,9.494600000000002,still
-0.27899999999999997,-1.6720000000000002,9.494600000000002,still
-0.27899999999999997,-1.6720000000000002,9.494600000000002,still
-0.28059999999999996,-1.6859000000000002,9.525300000000001,still
-0.2977,-1.6606999999999998,9.527460000000001,still
-0.298,-1.6439999999999997,9.497,still
-0.3151,-1.3470000000000002,9.650239999999998,still
-0.33520000000000005,-1.5924,9.59788,still
-0.35070000000000007,-1.4683999999999997,9.59811,still
-0.343,-1.3840000000000001,9.632599999999998,still
-0.343,-1.3840000000000001,9.632599999999998,still
-0.343,-1.3840000000000001,9.632599999999998,still
-0.36040000000000005,-1.3841999999999999,9.643809999999998,still
-0.40800000000000003,-1.3767,9.625499999999999,still
-0.36109999999999987,-1.4116000000000004,9.576000000000002,still
-0.3648999999999999,-1.4672,9.57647,still
-0.37199999999999994,-1.3889999999999998,9.585000000000003,still
-0.37649999999999995,-1.3880999999999997,9.593100000000002,still
-0.4169999999999999,-1.3799999999999997,9.665999999999999,still
-0.41620000000000007,-1.5103000000000002,9.637419999999997,still
-0.4159999999999999,-1.6102,9.569800000000003,still
-4.4924,-3.0105999999999997,6.360650000000001,walk
-11.2065,-3.3178799999999997,0.5343500000000001,walk
-10.5932,-2.54328,1.0960100000000002,walk
-10.487800000000002,-2.1594999999999995,1.20744,walk
-11.100200000000001,-2.3754000000000004,1.5487100000000003,walk
-11.402199999999997,-2.8648000000000002,1.85126,walk
-11.2389,-2.96089,1.294,walk
-11.264399999999998,-2.4821000000000004,1.5662699999999998,walk
-12.9031,-3.4051199999999993,0.75139,walk
-10.734000000000002,-2.72342,0.2261499999999999,walk
-9.6402,-2.0581399999999994,0.9934,walk
-11.939199999999998,-2.5116000000000005,1.70699,walk
-10.965900000000001,-2.4073,1.6191099999999998,walk
-11.075300000000002,-2.2773900000000005,0.9563600000000001,walk
-12.253,-3.02512,1.12541,walk
-10.2327,-1.8937899999999999,0.5888100000000001,walk
-10.731100000000001,-2.2163999999999997,1.50372,walk
-11.9268,-2.44576,0.7383700000000003,walk
-13.010399999999999,-2.94253,1.21054,walk
-11.962800000000001,-2.7808,1.40686,walk
-11.3507,-2.85062,0.9740699999999999,walk
-11.255700000000001,-1.8477600000000003,1.2961200000000002,walk
-10.8636,-2.6229999999999998,1.9034099999999998,walk
-10.595900000000002,-1.6579600000000003,0.7299300000000001,walk
-11.959100000000001,-1.9262299999999997,0.81874,walk
-10.523400000000002,-2.2200999999999995,1.55397,walk
-10.1127,-2.1957999999999998,1.27401,walk
-11.378699999999998,-3.0319999999999996,0.7564099999999998,walk
-11.810100000000002,-2.7612,1.90583,walk
-12.0685,-2.3898,1.3839599999999999,walk
-11.6044,-2.4529999999999994,1.3356299999999999,walk
-11.469800000000001,-2.3391999999999995,1.15842,walk
-10.505500000000001,-2.0013,1.39249,walk
-12.1027,-2.4096,1.2691000000000001,walk
-11.206399999999999,-3.227099999999999,1.5249000000000001,walk
-10.1598,-2.46831,0.7346199999999999,walk
-10.019400000000001,-1.8709999999999998,1.1466999999999998,walk
-10.907300000000001,-2.4048000000000003,1.8606000000000003,walk
-11.8866,-2.38503,0.9301499999999999,walk
-9.437000000000001,-1.2841,1.27729,walk
-12.705000000000002,-2.0461,0.9946300000000001,walk
-9.732999999999999,-2.26617,1.86676,walk
-12.1589,-2.6464,1.3196100000000002,walk
-9.5459,-1.7234400000000005,0.8141999999999999,walk
-11.8495,-2.1882,1.4345499999999998,walk
-11.017499999999998,-2.7177000000000002,1.09442,walk
-9.9012,-1.8452600000000001,1.64031,walk
-10.573500000000001,-1.2319399999999998,1.03654,walk
-12.2614,-1.9490699999999996,0.69208,walk
-3.5524,-0.9338299999999998,6.72881,walk
